Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
turmeric-powder-haldi-powder,Turmeric Powder | Haldi Powder,"<p>Pure, stone-ground turmeric powder sourced from Kerala farms. No fillers, no artificial color. Adds authentic flavor and color to curries and traditional dishes.</p>",Mother's Kitchen,Spices & Masala,"spices, cod-eligible, bestseller",TRUE,Weight,100g,TUR-100,100,deny,manual,60.00,80.00,TRUE,TRUE,https://images.pexels.com/photos/6104651/pexels-photo-6104651.jpeg,1,Turmeric Powder,active
turmeric-powder-haldi-powder,,,,,,,,250g,TUR-250,100,deny,manual,140.00,180.00,TRUE,TRUE,,,,
turmeric-powder-haldi-powder,,,,,,,,500g,TUR-500,100,deny,manual,260.00,320.00,TRUE,TRUE,,,,
black-halwa-authentic-kerala-halwa,Black Halwa - Authentic Kerala Halwa,"<p>Traditional Kerala-style black halwa made with jaggery, rice flour, and ghee, slow-cooked the authentic way. No preservatives, 40-day shelf life.</p>",Mother's Kitchen,Sweets & Halwa,"sweets, halwa, cod-eligible, gift",TRUE,Weight,200g,HAL-200,100,deny,manual,299.00,499.00,TRUE,TRUE,https://images.pexels.com/photos/20446403/pexels-photo-20446403.jpeg,1,Black Halwa,active
black-halwa-authentic-kerala-halwa,,,,,,,,400g,HAL-400,100,deny,manual,549.00,899.00,TRUE,TRUE,,,,
black-halwa-authentic-kerala-halwa,,,,,,,,,,,,,,,,,https://images.pexels.com/photos/7394818/pexels-photo-7394818.jpeg,2,Black Halwa close-up,
black-halwa-authentic-kerala-halwa,,,,,,,,,,,,,,,,,https://images.pexels.com/photos/5985991/pexels-photo-5985991.jpeg,3,Black Halwa served on plate,
matta-unda-rice-short-grain,Matta Unda Rice (Short Grain),"<p>Traditional Kerala red matta rice, short grain, sun-dried and stone-milled. Rich in fiber, ideal for everyday meals.</p>",Mother's Kitchen,Rice & Grains,"rice, staples, cod-eligible",TRUE,Weight,1kg,RIC-1KG,100,deny,manual,80.00,100.00,TRUE,TRUE,https://images.pexels.com/photos/5167396/pexels-photo-5167396.jpeg,1,Matta Rice,active
matta-unda-rice-short-grain,,,,,,,,5kg,RIC-5KG,100,deny,manual,360.00,470.00,TRUE,TRUE,,,,
matta-unda-rice-short-grain,,,,,,,,10kg,RIC-10KG,100,deny,manual,699.00,925.00,TRUE,TRUE,,,,
mango-pickle-achar,Mango Pickle (Achar),"<p>Spicy, tangy raw mango pickle made in small batches using traditional Kerala spices and gingelly oil.</p>",Mother's Kitchen,Pickles & Condiments,"pickle, condiments, cod-eligible",TRUE,Weight,250g,PIC-250,100,deny,manual,149.00,199.00,TRUE,TRUE,https://images.pexels.com/photos/35267279/pexels-photo-35267279/free-photo-of-spicy-indian-mango-pickle-in-jar.jpeg,1,Mango Pickle,active
mango-pickle-achar,,,,,,,,500g,PIC-500,100,deny,manual,279.00,369.00,TRUE,TRUE,,,,
banana-chips-kerala-style,Banana Chips (Kerala Style),"<p>Crispy nendran banana chips, deep-fried in coconut oil with a touch of turmeric and salt — the classic Kerala tea-time snack.</p>",Mother's Kitchen,Snacks,"snacks, chips, bestseller, cod-eligible",TRUE,Weight,200g,CHP-200,100,deny,manual,129.00,160.00,TRUE,TRUE,https://images.pexels.com/photos/9191924/pexels-photo-9191924.jpeg,1,Banana Chips,active
banana-chips-kerala-style,,,,,,,,500g,CHP-500,100,deny,manual,289.00,360.00,TRUE,TRUE,,,,
pure-coconut-oil,Pure Coconut Oil,"<p>Cold-pressed virgin coconut oil, extracted the traditional way, for cooking and hair care.</p>",Mother's Kitchen,Oils,"oils, cold-pressed, cod-eligible",TRUE,Volume,200ml,OIL-200,100,deny,manual,110.00,130.00,TRUE,TRUE,https://images.pexels.com/photos/17721574/pexels-photo-17721574.jpeg,1,Coconut Oil,active
pure-coconut-oil,,,,,,,,500ml,OIL-500,100,deny,manual,249.00,299.00,TRUE,TRUE,,,,
pure-coconut-oil,,,,,,,,1L,OIL-1L,100,deny,manual,459.00,549.00,TRUE,TRUE,,,,
garam-masala-powder,Garam Masala Powder,"<p>A hand-blended mix of roasted whole spices, ground fresh for authentic depth of flavor in curries and biryanis.</p>",Mother's Kitchen,Spices & Masala,"spices, masala, cod-eligible",TRUE,Weight,100g,GAR-100,100,deny,manual,85.00,110.00,TRUE,TRUE,https://images.pexels.com/photos/31280796/pexels-photo-31280796.jpeg,1,Garam Masala Powder,active
garam-masala-powder,,,,,,,,250g,GAR-250,100,deny,manual,190.00,245.00,TRUE,TRUE,,,,
festive-sweets-gift-box,Festive Sweets Gift Box,"<p>An assorted gift box with 5 varieties of Kerala sweets and halwa — perfect for festivals and gifting. Use as the anchor product for combo/bundle offers.</p>",Mother's Kitchen,Combo & Gift Packs,"combo, bundle, gift, cod-eligible",TRUE,Box Size,Standard Box,BOX-STD,50,deny,manual,959.00,1299.00,TRUE,TRUE,https://images.pexels.com/photos/19151506/pexels-photo-19151506.jpeg,1,Festive Sweets Gift Box,active
